8	 0.6
9	 0.7
10	 0.8
11	 1.1
13	 1.2
14	 1.4
15	 1.5
16	 2.4
17	 3.6
18	 4.6
19	 5.4
20	 6.4
21	 7.5
22	 7.7
23	 7.8
24	 7.9
25	 8.1
26	 9
27	 9.4
28	 10.2
29	 10.7
30	 11
31	 11.7
32	 12.6
33	 13.2
34	 14.1
35	 14.2
36	 14.5
37	 14.8
38	 18
39	 20.9
41	 22.1
42	 23.3
43	 23.8
44	 27.4
45	 30.5
46	 41.3
47	 61.7
48	 63.6
49	 75.8
50	 77.6
51	 86.3
52	 93.3
53	 93.4
54	 100.4
55	 101.8
56	 105.7
57	 106.2
58	 114.5
59	 126.9
60	 127.5
62	 129.3
63	 152.5
64	 156.2
65	 162.3
66	 191
67	 214.9
68	 217.9
69	 218
70	 227
71	 229.9
72	 242.7
73	 250
74	 277.5
75	 290.1
76	 323
77	 367.8
78	 400.7
79	 441.7
80	 443.8
81	 461.4
82	 462.4
83	 463.3
84	 466.4
85	 486
86	 531.2
87	 545.4
88	 545.7
89	 545.9
90	 550.6
91	 582.7
92	 675.6
93	 685.2
94	 691
95	 707.9
96	 790.4
97	 814.4
98	 861.4
99	 1049.8
100	 1171.9
101	 1224.9
102	 1333.9
103	 1858.5
104	 2585.8
