8	 0.5
9	 0.6
10	 0.7
12	 0.9
13	 1
14	 1.1
15	 1.2
16	 1.9
17	 3.3
18	 5.6
19	 5.7
20	 5.9
21	 6.7
22	 7.4
23	 7.5
24	 7.6
25	 7.7
26	 7.8
27	 8.6
28	 9.3
29	 9.4
30	 10.1
31	 11.2
32	 11.7
33	 12.3
34	 12.9
35	 13
36	 15
37	 15.5
38	 16.7
39	 18.2
40	 20.3
41	 21.6
42	 23.4
44	 25.1
45	 28.8
46	 40
47	 66.7
48	 69.5
49	 70.4
50	 81.8
51	 84.2
52	 100
53	 107
54	 118.9
55	 119
56	 120.8
57	 125.1
58	 128.4
59	 130.3
60	 145
61	 146.5
62	 147
63	 156.9
64	 184
65	 184.7
66	 216.8
67	 233.1
68	 233.4
69	 234.1
70	 236.1
71	 237.6
72	 245.3
73	 305.8
74	 316.7
75	 323.6
76	 358.1
77	 390.9
78	 444
79	 468.6
80	 480
81	 505.4
82	 538.1
83	 539.3
84	 547.5
85	 549.2
86	 553.6
87	 559.5
88	 575.7
89	 577.5
90	 624.6
91	 745.1
92	 752.9
93	 814.4
94	 819.5
95	 850.8
96	 864.1
97	 866.2
98	 886.8
99	 991.4
100	 1230.8
101	 1285.6
102	 1736.2
103	 2155.8
104	 2966.3
