7	 0.1
8	 0.6
9	 0.7
10	 1
11	 1.1
12	 1.2
14	 1.6
15	 1.8
16	 2.2
17	 4.3
18	 4.5
19	 7.5
20	 8.6
21	 9.2
22	 9.4
23	 9.8
25	 10.5
26	 12.5
27	 12.8
28	 12.9
29	 13.9
30	 14.1
31	 14.7
32	 16.9
33	 18.1
34	 19.3
35	 21.1
36	 24.7
37	 24.9
38	 25.1
39	 26.4
40	 39.6
41	 39.9
42	 48.5
43	 53.4
44	 60.9
45	 81.8
46	 86.5
47	 100.2
48	 124.9
49	 150.7
50	 187.3
51	 205.3
52	 218.3
53	 222.8
54	 223.8
55	 262.2
56	 332.8
57	 361.5
58	 369.6
59	 487.2
60	 510
61	 524.6
62	 531
63	 553.6
64	 592.4
65	 599
66	 682.9
67	 708.3
68	 800
69	 852.1
70	 852.5
71	 872.8
72	 874.1
73	 900.5
74	 1032.6
75	 1109
76	 1118.1
77	 1288.1
78	 1294.5
79	 1346.6
80	 1404.1
81	 1492
82	 1571.4
83	 1665.8
84	 1722.4
85	 1781.1
86	 1784.1
87	 2001.7
88	 2029
89	 2059.6
90	 2309.1
91	 2333.6
92	 2608.6
93	 2708.6
94	 2884
95	 2986.9
96	 3032
97	 3628
98	 3996
99	 4420
100	 4453
101	 4870
102	 8263
103	 8801
104	 11262
